slug,title,pdf_sha256,category,definition
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Security Team Participation,The Information Security Team must provide personnel to serve as active members of the acquisition team throughout the entire acquisition process.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Security Risk Management,"The Information Security Team must detect and evaluate information security risk, develop remediation plans with affected parties, and work with the acquisitions team to implement solutions for identified security risks before connectivity to <Company Name>'s networks is allowed."
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Endpoint Baseline,"All endpoints, including servers, desktops, and laptops, must be replaced or re-imaged with the <Company Name> standard security baseline configuration and maintain these minimum standards."
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Critical Server Audit,Business-critical production servers that cannot be replaced or re-imaged must be audited.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Critical Server Exception,An exception for business-critical production servers that cannot be replaced or re-imaged must be granted and documented by the Information Security Team.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Endpoint Protection,All endpoint computing devices must have <Company Name>-approved antivirus protection and/or Endpoint Detection and Response software (EDR) before a network connection is established.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Network Device Baseline,All network devices must be replaced or re-imaged with a <Company Name> standard baseline configuration.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Wireless Baseline,Wireless network access points must be configured to the <Company Name> standard baseline configuration.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Network Baseline Compliance,The acquired company’s network must comply with the <Company Name> network standard security baseline configuration.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Internet Connection Termination,All Internet connections must be terminated.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Air-Gapped Internet Approval,"When justified by business requirements, air-gapped Internet connections must be reviewed and approved by the Information Security Team."
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Remote Access Termination,All remote access connections must be terminated.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Company-Provided Remote Access,"Remote access to any production, test, development, or guest network must be provided by <Company Name>."
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Lab Physical Security,Lab equipment must be physically separated and secured from non-lab areas.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Lab Network Segmentation,The lab network must be separated from the corporate production network using a virtual network (VLAN) with a firewall between the two networks.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,External Connection Approval,"Any direct network connections, including analog lines, ISDN lines, and T1 connections, to external customers, partners, or other parties must be reviewed and approved by the Information Security Team or the Lab Security Group (LabSec)."
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Lab Network Baseline,All acquired lab networks must conform to the LabSec standard security baseline configuration.
acquisition-assessment-standard,Acquisition Assessment Standard,c5edd59516889f66582c9e5b3108a01ef4afe0e78a6e7e35c3618dd3ae6f05fe,Risk Acceptance,"If acquired networks and computer systems fail to meet these requirements, the <Company Name> Chief Risk Officer (CRO) must acknowledge and approve the risk to <Company Name>'s networks."
