slug,title,pdf_sha256,category,definition
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Program Authentication,Software programs may access internal databases only after authentication with credentials.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Credential Separation,Authentication credentials must not reside in clear text or easily reversible encryption in the main executing body of a program's source code.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Web Server Inaccessibility,Database credentials must not be stored in a location accessible through a web server.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Approved Cryptography,Algorithms must meet the standards in NIST FIPS 140-2 or any superseding document applicable on the implementation date.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Asymmetric Encryption,Use of RSA and Elliptic Curve Cryptography (ECC) is strongly recommended for asymmetric encryption.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Separate Credential File,"Database usernames and passwords may be stored in a file separate from the executing body of the program's code, but that file must not be world-readable or world-writable."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Database-Server Credential Storage,"Database credentials may reside on the database server; in that case, a hash function number identifying the credentials may be stored in the executing body of the program's code."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Authentication Server Storage,"Database credentials may be stored as part of an authentication server, such as an LDAP entitlement directory, and database authentication may occur on behalf of a program during user authentication."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Web Document Tree Prohibition,Database credentials must not reside in a web server's documents tree.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Password Policy Compliance,Passwords or passphrases used to access a database must adhere to the Password Policy.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Just-in-Time Credential Retrieval,"When database usernames and passwords are stored in a non-source-code file, they must be read from that file immediately before use."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Credential Memory Clearing,"Immediately after database authentication, memory containing the username and password must be released or cleared."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Physical Code Separation,"The scope used to store database credentials must be physically separated from other code areas, such as by placing the credentials in a separate source file."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Credential-Only File,"A credential file must contain only the credentials and any functions, routines, or methods used to access them."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Source Directory Separation,"For languages executed from source code, the credentials source file must not reside in the same browsable or executable directory tree as the executing body of code."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Unique Program Credentials,"Each program, or collection of programs implementing a single business function, must have unique database credentials."
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,No Credential Sharing,Credentials must not be shared between programs.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,System-Level Program Passwords,Database passwords used by programs must be treated as system-level passwords as defined by the Password Policy.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Password Management Process,Developer groups must maintain a process ensuring that database passwords are controlled and changed in accordance with the Password Policy.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Need-to-Know Restriction,The database password management process must restrict knowledge of database passwords to a need-to-know basis.
database-credentials-standard,Database Credentials Standard,ba008985bdda20780235bc8310d6ae3f75df5b4aed42d29dae068bd98de48c7c,Sensitive Data Access Control,Users and software accessing sensitive data must be subject to proper access control and should not be able to perform privileged operations outside their authorized scope.
