slug,title,pdf_sha256,category,definition
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-01 Threat Taxonomy,Maintain a detailed and documented taxonomy of all cybersecurity threats that could harm the organization's information systems.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-02 Threat Evaluation and Safeguard Approval,"Regularly evaluate cybersecurity threats to the organization and define, document, and approve cybersecurity safeguards to address these threats."
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-03 Threat Intelligence Feeds,Maintain subscriptions to relevant cybersecurity threat intelligence feeds to ensure the organization's threat taxonomy is updated with the latest cybersecurity threats.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-04 Threat Characteristics,Maintain a detailed and documented list of characteristics that will be used to model each threat in the organization's cybersecurity threat taxonomy.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-05 Threat Prioritization,Ensure that the organization's threat model prioritizes each threat in the organization's cybersecurity threat taxonomy.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-06 Board-Level Cybersecurity Policy,Maintain a documented board of directors-level cybersecurity policy that defines the high-level categories of cybersecurity safeguards that will be implemented to achieve the goals defined in the organization's cybersecurity program charter.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-07 Safeguard List,Maintain a detailed and documented list of all appropriate cybersecurity safeguards the organization must implement to achieve the goals defined in its cybersecurity program charter.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-08 Aspirational Safeguard List,Ensure that the organization has aspirationally defined a complete list of the appropriate cybersecurity safeguards it must implement to achieve the goals defined in its cybersecurity program charter.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-09 Scope of Applicability,Ensure that the organization's cybersecurity safeguard documentation clearly defines the scope of applicability for each documented cybersecurity safeguard.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-10 Sanctions,Ensure that the organization's cybersecurity safeguard documentation clearly defines the sanctions imposed if the documented cybersecurity safeguards are violated.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-11 Regulatory and Standards Mappings,Ensure that the organization's cybersecurity safeguard documentation clearly defines mappings to regulatory or standards-based requirements for each documented cybersecurity safeguard.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-12 Responsible Business Stakeholder,Ensure that the organization's cybersecurity safeguard documentation clearly defines a business stakeholder responsible for each documented cybersecurity safeguard.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-13 Role Awareness,Ensure that the organization's cybersecurity safeguard documentation clearly defines the job roles that must be aware of each documented cybersecurity safeguard.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-14 Compliance Measures,Ensure that the organization's cybersecurity safeguard documentation clearly defines a quantifiable measure of compliance for each documented cybersecurity safeguard.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-15 Acceptable Use Statements,Maintain detailed and documented acceptable use statements that define how the organization's workforce members will appropriately utilize information systems.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-16 Threat-to-Safeguard Mapping,Ensure that each prioritized threat in the organization's cybersecurity threat model is mapped against each corresponding cybersecurity safeguard in the organization's list of documented safeguards.
safeguard-selection-management-policy,Safeguard Selection Management Policy,b456e459c25aacee24b9ed7d6727587c88990e3bd29ca03dda205b5cb76c08bb,SAF-17 Safeguard Documentation Review,Regularly review the documentation used to define the organization's cybersecurity safeguards to ensure it is appropriate and up-to-date.
