slug,title,pdf_sha256,category,definition
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-01,"Define a process to document and track each cybersecurity project, such as a formal Project Management Office (PMO)."
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-02,"Maintain a cybersecurity project tracking system, such as a PMO tool, to track each cybersecurity project."
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-03,Ensure the cybersecurity project tracking system is used to document each active cybersecurity project.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-04,Ensure the cybersecurity project tracking system prioritizes each active cybersecurity project.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-05,Ensure the cybersecurity project tracking system tracks the capital implementation costs for each active cybersecurity project.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-06,Ensure the cybersecurity project tracking system is used to track the personnel implementation costs for each active cybersecurity project.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-07,Ensure the cybersecurity project tracking system is used to track the status of each active cybersecurity project.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-08,Define a process to document and track each approved cybersecurity exception when it causes information systems or software applications to be out of compliance with approved cybersecurity safeguards.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-09,Define a process to document which business stakeholders are authorized to approve cybersecurity exceptions in the cybersecurity exception process.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-10,"Maintain a system, such as a Governance, Risk, and Compliance (GRC) system or risk register, to track all approved and documented cybersecurity exceptions to approved cybersecurity safeguards."
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-11,Define a process to document and track each issue or defect when it causes information systems or software applications to be out of compliance with approved cybersecurity safeguards.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-12,Assign appropriate resources to address each cybersecurity project and issue in a timely manner.
safeguard-implementation-management-policy,Safeguard Implementation Management Policy,ff1552b557131b28d89d9eafe7d7379c77963a506e159166988983c6fe7551d9,IMP-13,"Regularly review each cybersecurity project, cybersecurity exception, and cybersecurity issue related to approved cybersecurity safeguards, and report the status of each to the organization's leadership team."
