slug,title,pdf_sha256,category,definition
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-01,"Maintain an Endpoint Detection and Response (EDR) system to detect and alert malicious activity on the organization's computing systems, whether onsite or remote."
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-02,Ensure that the organization's EDR system utilizes software agents that cannot be disabled by standard computing system users.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-03,Ensure the organization's EDR system is centrally managed and cloud-based.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-04,Ensure that the organization's EDR system's anti-malware signature is regularly updated on all computing systems.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-05,Ensure the organization's EDR system automatically scans removable media for potentially malicious files.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-06,Ensure that the organization's EDR system logs and tracks all running processes for cybersecurity incident response.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-07,Ensure that the organization's EDR system generates a database of the signatures (hashes) for all files on each of the organization's computing systems for cybersecurity incident response.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-08,Ensure that the organization's EDR system logs and alerts on appropriate events for cybersecurity incident response.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-09,Maintain host-based firewalls on each of the organization's computing systems.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-10,Ensure the organization's host-based firewalls are configured with a default rule to deny all network traffic.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-11,Maintain a whole-disk encryption system on the organization's endpoint computing systems.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-12,Maintain a host-based Data Loss Prevention (DLP) system on each organization's computing system.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-13,Maintain removable media safeguards on each of the organization's endpoint computing systems.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-14,Ensure the organization's removable media safeguard system creates an inventory of authorized storage and peripheral devices.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-15,Ensure the organization's removable media safeguard system tracks data owners on approved devices responsible for the media.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-16,Ensure the organization's removable media safeguard system disables removable storage media on computing systems that do not require such devices.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-17,Ensure the organization's removable media safeguard system disables unauthorized peripheral devices on computing systems that do not require such devices.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-18,Ensure the organization's removable media safeguard system only allows reading and writing on authorized removable media devices.
system-protection-management-policy,System Protection Management Policy,5dcd909b37e88d3d061279610737da001b4bd614f1785b4bc156f9c16c4c43a6,SYS-19,Ensure the organization's removable media safeguard system only allows writing to authorized removable media devices utilizing encryption.
